home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
France,Mexico,61,54,35,22,108,58,0.5737704918032787,0.4074074074074074,1.7704918032786885,1.0740740740740742,1
USA,Belgium,34,43,12,21,38,54,0.3529411764705882,0.4883720930232558,1.1176470588235294,1.255813953488372,1
Yugoslavia,Brazil,37,108,21,75,60,225,0.5675675675675675,0.6944444444444444,1.6216216216216215,2.083333333333333,1
Romania,Peru,21,15,11,6,30,19,0.5238095238095238,0.4,1.4285714285714286,1.2666666666666666,1
Argentina,France,81,61,54,35,133,108,0.6666666666666666,0.5737704918032787,1.6419753086419753,1.7704918032786885,1
Chile,Mexico,34,54,16,22,41,58,0.4705882352941176,0.4074074074074074,1.2058823529411764,1.0740740740740742,1
Yugoslavia,Bolivia,37,6,21,1,60,1,0.5675675675675675,0.1666666666666666,1.6216216216216215,0.1666666666666666,1
USA,Paraguay,34,27,12,11,38,30,0.3529411764705882,0.4074074074074074,1.1176470588235294,1.1111111111111112,1
Uruguay,Peru,52,15,25,6,80,19,0.4807692307692308,0.4,1.5384615384615383,1.2666666666666666,1
Chile,France,34,61,16,35,41,108,0.4705882352941176,0.5737704918032787,1.2058823529411764,1.7704918032786885,1
Argentina,Mexico,81,54,54,22,133,58,0.6666666666666666,0.4074074074074074,1.6419753086419753,1.0740740740740742,1
Brazil,Bolivia,108,6,75,1,225,1,0.6944444444444444,0.1666666666666666,2.083333333333333,0.1666666666666666,1
Paraguay,Belgium,27,43,11,21,30,54,0.4074074074074074,0.4883720930232558,1.1111111111111112,1.255813953488372,1
Uruguay,Romania,52,21,25,11,80,30,0.4807692307692308,0.5238095238095238,1.5384615384615383,1.4285714285714286,1
Argentina,Chile,81,34,54,16,133,41,0.6666666666666666,0.4705882352941176,1.6419753086419753,1.2058823529411764,1
Argentina,USA,81,34,54,12,133,38,0.6666666666666666,0.3529411764705882,1.6419753086419753,1.1176470588235294,1
Uruguay,Yugoslavia,52,37,25,21,80,60,0.4807692307692308,0.5675675675675675,1.5384615384615383,1.6216216216216215,1
Uruguay,Argentina,52,81,25,54,80,133,0.4807692307692308,0.6666666666666666,1.5384615384615383,1.6419753086419753,1
Austria,France,29,61,15,35,43,108,0.5172413793103449,0.5737704918032787,1.4827586206896552,1.7704918032786885,1
Switzerland,Netherlands,34,54,14,33,45,91,0.4117647058823529,0.6111111111111112,1.3235294117647058,1.6851851851851851,1
Sweden,Argentina,46,81,22,54,74,133,0.4782608695652174,0.6666666666666666,1.608695652173913,1.6419753086419753,1
